rank_index,time,class,failures,ranking,nfpa,failure_metric
0.4199623366113514,0.006,0,0,14,0.8409090909090909,0
0.4199623366113514,0.002,0,0,20,0.8409090909090909,0
0.40011142469294414,0.019,0,0,7,0.8409090909090909,0
0.3707074813680025,0.013000000000000001,0,0,11,0.8409090909090909,0
0.20943775377136573,0.006999999999999999,0,0,13,0.8409090909090909,0
0.20943775377136573,5.025,0,0,1,0.8409090909090909,0
0.20943775377136573,0.002,0,0,18,0.8409090909090909,0
0.17224637794234934,0.046,0,0,4,0.8409090909090909,0
0.17224637794234934,0.08800000000000001,0,0,3,0.8409090909090909,0
0.12299152269900053,0.004,0,0,15,0.8409090909090909,0
0.12299152269900053,0.002,0,0,21,0.8409090909090909,0
0.12299152269900053,0.001,1,0,25,0.8409090909090909,0
0.12299152269900053,0.022000000000000002,0,0,6,0.8409090909090909,0
0.04925485524334891,0.001,1,0,23,0.8409090909090909,0
0.04925485524334891,0.001,1,0,26,0.8409090909090909,0
0.04925485524334891,0.015,0,0,10,0.8409090909090909,0
0.04925485524334891,0.016,0,0,9,0.8409090909090909,0
0.04925485524334891,0.016,0,0,8,0.8409090909090909,0
0.04925485524334891,0.0,1,0,27,0.8409090909090909,0
0.04925485524334891,0.0,1,0,32,0.8409090909090909,0
0.0,0.036000000000000004,0,0,5,0.8409090909090909,0
0.0,0.11699999999999999,0,0,2,0.8409090909090909,0
rank_index,time,class,failures,ranking,nfpa,failure_metric
1.2693338922117443,0.001,1,0,17,0.8237381067569748,0
1.2693338922117443,0.001,1,0,19,0.8237381067569748,0
0.9998747709464032,0.0,1,0,21,0.8237381067569748,0
0.629167289578401,0.0,1,0,25,0.8237381067569748,0
0.44023709512674536,0.006,0,0,10,0.8237381067569748,0
0.3707074813680025,0.011000000000000001,0,0,6,0.8237381067569748,0
0.3707074813680025,0.005,0,0,11,0.8237381067569748,0
0.3707074813680025,0.005,0,0,12,0.8237381067569748,0
0.3707074813680025,0.001,1,0,16,0.8237381067569748,0
0.3707074813680025,0.01,0,0,8,0.8237381067569748,0
0.3707074813680025,0.0,1,0,22,0.8237381067569748,0
0.3707074813680025,0.0,1,0,23,0.8237381067569748,0
0.12299152269900053,0.001,1,0,18,0.8237381067569748,0
0.12299152269900053,0.049,0,0,3,0.8237381067569748,0
0.12299152269900053,0.0,1,0,20,0.8237381067569748,0
0.12299152269900053,0.096,0,0,2,0.8237381067569748,0
0.12299152269900053,0.013999999999999999,0,0,5,0.8237381067569748,0
0.12299152269900053,0.0,1,0,26,0.8237381067569748,0
0.0,0.022000000000000002,0,0,4,0.8237381067569748,0
0.0,0.003,0,0,13,0.8237381067569748,0
0.0,0.011000000000000001,0,0,7,0.8237381067569748,0
